PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FGP,THPM,THPA,THPP,FTM,FTA,FTP,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD,TD,PLMIN,LOOKUP
KENNEDY BURKE,NYL,27,38,30,8,12.1,3.4,1.4,3.5,40.9,0.4,1.5,25.9,0.2,0.3,66.7,0.4,1.2,1.5,0.9,0.7,0.6,0.3,1.0,8.1,0,0,0.9,1629568
OLIVIA NELSON-ODODA,CON,24,37,26,11,11.8,3.4,1.3,2.7,49.5,0.0,0.0,0.0,0.7,1.1,65.9,0.8,1.7,2.5,0.2,0.8,0.4,0.6,1.7,8.0,0,0,1.1,1631135
IVANA DOJKIĆ,NYL,26,26,22,4,9.9,3.3,1.0,2.8,33.8,0.6,1.6,38.1,0.8,1.0,77.8,0.3,0.5,0.8,0.8,0.5,0.3,0.0,1.0,6.3,0,0,0.4,1641602
NIA COFFEY,ATL,29,40,15,25,13.3,3.3,1.2,3.7,32.4,0.5,1.7,27.3,0.4,0.5,76.2,0.5,1.9,2.4,1.2,1.0,0.3,0.7,1.2,9.1,0,0,-3.1,1628269
CRYSTAL DANGERFIELD,LAS,26,33,8,25,13.3,3.2,1.1,4.0,28.2,0.5,1.9,27.4,0.5,0.5,88.2,0.1,1.0,1.0,1.9,0.8,0.3,0.2,0.8,7.7,0,0,-3.4,1630101
MIKIAH HERBERT HARRIGAN,PHO,26,31,13,18,10.8,3.2,1.1,2.8,40.7,0.5,1.7,32.1,0.4,0.6,55.0,0.5,1.0,1.5,0.3,0.5,0.5,0.4,0.9,7.2,0,0,-3.3,1630114
VICTORIA VIVIANS,SEA,29,35,21,14,12.7,3.1,1.2,3.5,33.3,0.6,2.0,31.9,0.2,0.3,66.7,0.5,1.4,2.0,0.8,0.6,0.4,0.2,1.2,7.7,0,0,1.6,1628927
VERONICA BURTON,CON,24,31,19,12,12.7,3.1,0.8,2.3,36.1,0.4,1.2,35.1,1.0,1.2,83.8,0.4,1.0,1.4,1.9,0.5,0.5,0.2,1.0,8.2,0,0,3.5,1631007
EZINNE KALU,ATL,32,1,1,0,12.7,3.0,1.0,3.0,33.3,0.0,1.0,0.0,1.0,1.0,100,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,6.0,0,0,-7.0,1642534
KAELA DAVIS,CHI,29,4,0,4,12.9,3.0,1.0,3.0,33.3,0.5,0.5,100,0.5,1.0,50.0,0.3,0.8,1.0,0.3,1.0,0.3,0.5,1.3,6.3,0,0,-8.0,1628273
JOYNER HOLMES,SEA,26,27,17,10,8.5,2.9,1.2,2.9,42.3,0.2,1.1,19.4,0.3,0.4,63.6,0.5,1.3,1.8,0.9,0.8,0.2,0.2,1.0,6.8,1,0,-1.7,1630115
DIAMOND MILLER,MIN,23,21,14,7,10.1,2.9,1.0,3.3,30.4,0.2,1.2,19.2,0.7,1.1,58.3,0.4,1.3,1.8,0.6,0.9,0.3,0.0,1.1,6.3,0,0,-2.7,1641649
KIERSTAN BELL,LVA,24,6,6,0,7.2,2.8,1.0,2.7,37.5,0.7,1.3,50.0,0.2,0.3,50.0,0.2,0.8,1.0,0.8,0.2,0.0,0.0,0.8,5.3,0,0,-0.2,1631006
GRACE BERGER,IND,25,11,4,7,9.3,2.8,0.9,2.3,40.0,0.2,0.5,40.0,0.8,1.3,64.3,0.4,1.0,1.4,0.6,0.9,0.5,0.0,1.1,5.9,0,0,-1.3,1641658
JAELYN BROWN,DAL,26,14,4,10,10.1,2.6,1.1,2.2,48.4,0.4,0.9,50.0,0.1,0.2,33.3,0.5,1.0,1.5,0.4,0.9,0.3,0.3,1.1,6.1,0,0,-5.1,1642240
CELESTE TAYLOR,PHO,23,22,9,13,14.9,2.6,1.0,2.8,33.9,0.3,1.4,20.0,0.5,0.8,55.6,0.3,1.0,1.3,1.3,1.0,0.7,0.5,1.0,7.7,0,0,1.0,1642298
KATE MARTIN,LVA,24,34,23,11,11.5,2.6,0.8,2.6,30.7,0.6,1.8,35.5,0.3,0.4,91.7,0.2,1.4,1.6,0.9,0.6,0.2,0.2,0.9,6.6,0,0,0.1,1642324
AMY ATWELL,PHO,26,6,2,4,9.9,2.5,0.7,2.5,26.7,0.5,2.2,23.1,0.7,0.8,80.0,0.5,0.5,1.0,1.0,0.3,0.0,0.2,0.5,5.3,0,0,-5.2,1631056
SYDNEY COLSON,LVA,35,31,21,10,8.0,2.5,0.9,2.1,42.2,0.5,1.2,37.8,0.3,0.3,88.9,0.0,0.4,0.5,1.0,0.5,0.5,0.2,0.7,5.6,0,0,1.5,202641
ALISSA PILI,MIN,23,22,16,6,6.3,2.4,0.9,2.0,42.2,0.4,1.2,33.3,0.3,0.5,54.5,0.3,1.0,1.2,0.2,0.9,0.2,0.1,1.3,4.9,0,0,-1.4,1642293
SUG SUTTON,WAS,25,29,18,11,13.1,2.3,0.8,2.7,30.8,0.3,1.4,25.0,0.3,0.4,69.2,0.2,0.8,1.0,2.1,1.2,0.6,0.0,0.9,6.9,0,0,-1.6,1630134
DIDI RICHARDS,WAS,25,20,6,14,9.9,2.3,1.0,2.5,40.0,0.0,0.2,0.0,0.3,0.7,42.9,0.5,1.0,1.5,0.7,0.4,0.1,0.2,0.8,5.0,0,0,-5.1,1630459
MORGAN BERTSCH,DAL,27,11,3,8,9.1,2.0,0.5,2.7,20.0,0.2,1.4,13.3,0.7,0.9,80.0,0.7,0.8,1.5,0.2,1.2,0.1,0.1,1.3,4.3,0,0,-4.5,1629571
JAYLYN SHERROD,NYL,23,10,7,3,3.7,1.9,0.7,1.4,50.0,0.2,0.6,33.3,0.3,0.6,50.0,0.2,0.1,0.3,0.5,0.2,0.3,0.1,0.4,3.7,0,0,1.1,1642320
LIZ DIXON,PHO,24,18,9,9,8.9,1.7,0.6,1.6,37.9,0.0,0.0,0.0,0.4,0.6,80.0,0.8,1.5,2.3,0.5,0.4,0.1,0.5,0.7,5.6,0,0,-2.9,1641700
QUEEN EGBO,LVA,24,8,5,3,3.6,1.5,0.6,1.5,41.7,0.0,0.0,0.0,0.3,0.3,100,0.4,0.9,1.3,0.0,0.0,0.4,0.1,0.5,3.8,0,0,0.0,1631031
KIAH STOKES,LVA,31,39,26,13,18.4,1.4,0.5,1.6,32.3,0.2,1.0,22.5,0.2,0.2,66.7,0.6,4.1,4.7,0.7,0.4,0.5,0.8,1.7,9.8,0,0,1.1,204329
MORIAH JEFFERSON,CHI,30,23,10,13,8.0,1.3,0.4,1.8,21.4,0.2,0.8,21.1,0.4,0.4,90.0,0.1,0.3,0.4,1.3,0.3,0.3,0.0,0.7,3.9,0,0,-3.3,1627669
BRIANNA TURNER,CHI,28,27,10,17,9.4,1.2,0.6,1.0,61.5,0.0,0.0,0.0,0.0,0.1,50.0,0.4,1.6,2.0,0.4,0.4,0.3,0.5,1.0,5.2,0,0,-3.9,1629488
MARQUESHA DAVIS,NYL,23,20,17,3,4.0,1.2,0.5,1.1,40.9,0.1,0.1,100,0.3,0.4,71.4,0.1,0.4,0.5,0.2,0.2,0.1,0.2,0.6,2.5,0,0,-0.1,1642301
LORELA CUBAJ,ATL,25,28,10,18,7.9,1.2,0.5,1.3,42.9,0.0,0.0,0.0,0.1,0.2,60.0,0.7,0.8,1.5,0.5,0.4,0.3,0.1,1.2,4.0,0,0,-2.0,1631032
ASTOU NDOUR-FALL,CON,30,22,19,3,4.2,1.1,0.4,1.2,34.6,0.1,0.5,20.0,0.2,0.3,83.3,0.1,0.7,0.8,0.0,0.1,0.0,0.2,0.5,2.5,0,0,-1.7,203838
LAETICIA AMIHERE,ATL,23,17,5,12,4.9,1.1,0.4,1.5,26.9,0.0,0.0,0.0,0.3,1.0,29.4,0.7,0.9,1.6,0.2,0.5,0.1,0.2,0.4,3.5,0,0,-1.1,1641656
STEPHANIE SOARES,DAL,24,22,4,18,8.0,1.1,0.5,1.5,29.4,0.1,0.5,16.7,0.1,0.1,100,0.8,1.3,2.1,0.5,0.5,0.1,0.4,0.8,4.7,0,0,-2.3,1641654
CHARISMA OSBORNE,PHO,23,2,1,1,5.0,1.0,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,0.0,0.0,0.5,2.0,0,0,1.0,1642309
JAKIA BROWN-TURNER,WAS,23,2,0,2,4.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,100,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,2.5,0,0,-3.0,1642309
KYSRE GONDREZICK,CHI,27,5,3,2,3.3,1.0,0.4,1.4,28.6,0.2,1.2,16.7,0.0,0.0,0.0,0.2,0.2,0.4,0.4,0.6,0.8,0.0,0.4,3.6,0,0,0.2,1630438
LOU LOPEZ SÉNÉCHAL,DAL,26,27,5,22,4.6,0.9,0.4,1.3,29.4,0.1,0.6,20.0,0.1,0.1,50.0,0.1,0.3,0.4,0.4,0.2,0.1,0.0,0.5,2.0,0,0,-3.2,1641661
VICTARIA SAXTON,IND,24,9,3,6,2.5,0.9,0.3,1.0,33.3,0.1,0.4,25.0,0.1,0.2,50.0,0.0,0.3,0.3,0.0,0.1,0.0,0.0,0.4,1.3,0,0,-1.0,1641687
DULCY FANKAM MENDJIADEU,SEA,25,7,4,3,5.2,0.9,0.3,0.4,66.7,0.0,0.0,0.0,0.3,0.9,33.3,0.6,0.7,1.3,0.1,0.4,0.0,0.0,0.7,2.3,0,0,-1.7,1641675
KIANA WILLIAMS,SEA,25,13,9,4,3.5,0.8,0.3,1.2,25.0,0.2,0.7,33.3,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.2,0.0,0.0,0.2,1.6,0,0,0.4,1630461
OLIVIA ÉPOUPA,MIN,30,17,11,6,6.7,0.8,0.4,0.9,37.5,0.0,0.0,0.0,0.1,0.1,100,0.4,0.8,1.1,1.5,0.9,0.8,0.0,0.8,5.1,0,0,1.3,1630151
EMMA CANNON,LVA,35,5,3,2,1.8,0.8,0.4,0.6,66.7,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.2,0.0,0.0,0.0,1.4,0,0,0.6,1628242
NIKA MÜHL,SEA,23,16,13,3,3.6,0.1,0.1,0.9,7.1,0.0,0.7,0.0,0.0,0.0,0.0,0.4,0.3,0.6,0.4,0.3,0.1,0.0,0.6,1.4,0,0,-1.6,1642299
CAITLIN BICKLE,CON,24,8,7,1,1.8,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0,0,-1.4,1641698
DYAISHA FAIR,LVA,23,1,1,0,3.9,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0,0,-3.0,1642300
JESSIKA CARTER,LVA,24,2,2,0,2.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-4.5,1642305
TAYLOR SOULE,MIN,24,2,1,1,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0,0,-5.0,1641667
